Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting,Setting Value
,System,Audit Process Creation,{0cce922b-69ae-11d9-bed3-505054503030},No Auditing,,0
,System,Audit Process Termination,{0cce922c-69ae-11d9-bed3-505054503030},No Auditing,,0
,System,Audit File Share,{0cce9224-69ae-11d9-bed3-505054503030},Failure,,2
,System,Audit File System,{0cce921d-69ae-11d9-bed3-505054503030},Failure,,2
,System,Audit Filtering Platform Connection,{0cce9226-69ae-11d9-bed3-505054503030},No Auditing,,0
,System,Audit Filtering Platform Packet Drop,{0cce9225-69ae-11d9-bed3-505054503030},No Auditing,,0
,System,Audit Registry,{0cce921e-69ae-11d9-bed3-505054503030},Failure,,2
,System,Audit Non Sensitive Privilege Use,{0cce9229-69ae-11d9-bed3-505054503030},No Auditing,,0
,System,Audit Other Privilege Use Events,{0cce922a-69ae-11d9-bed3-505054503030},No Auditing,,0
,System,Audit Sensitive Privilege Use,{0cce9228-69ae-11d9-bed3-505054503030},No Auditing,,0
